PubmedID,Title,PublicationDate,NonAcademicAuthors,CompanyAffiliations,CorrespondingAuthorEmail
39770908,Biological Effect of Food for Special Medical Purposes (Nutramil(TM) Complex) on Melanoma Cells in In Vitro Study.,2024 Dec 12,"['Koronowicz A', 'Krawczyk K', 'Such A', 'Piasna-Słupecka E', 'Drozdowska M', 'Leszczyńska T']",[],N/A
39770899,Assessing Quality of Life with the Novel QLQ-CAX24 Questionnaire and Body Composition Parameters in Rectal Cancer Patients: A Single-Center Prospective Study.,2024 Dec 11,"['Cintoni M', 'Palombaro M', 'Raoul P', 'Chiloiro G', 'Romano A', 'Meldolesi E', 'De Giacomo F', 'Leonardi E', 'Egidi G', 'Grassi F', 'Pulcini G', 'Rinninella E', 'Capristo E', 'Gasbarrini A', 'Gambacorta MA', 'Mele MC']",[],N/A
39770824,Development of Effective Medical Countermeasures Against the Main Biowarfare Agents: The Importance of Antibodies.,2024 Dec 18,"['Avril A', 'Guillier S', 'Rasetti-Escargueil C']",[],N/A
39770796,Towards Reliable Methodology: Microbiome Analysis of Fresh Frozen vs. Formalin-Fixed Paraffin-Embedded Bladder Tissue Samples: A Feasibility Study.,2024 Dec 15,"['Enderlin D', 'Bieri U', 'Gadient J', 'Morsy Y', 'Scharl M', 'Rüschoff JH', 'Hefermehl LJ', 'Nikitin A', 'Langenauer J', 'Engeler DS', 'Förster B', 'Obrecht F', 'Surber J', 'Scherer TP', 'Eberli D', 'Poyet C']",[],N/A
39770737,"Intraperitoneal Treatment of Cambinol, a Synthetic SIRT1 and SIRT2 Inhibitory Compound, Exacerbates Brucella abortus 544 Burden in the Spleens of Institute of Cancer Research Mice.",2024 Dec 9,"['Reyes AWB', 'Huy TXN', 'Nguyen TT', 'Salad SA', 'Aguilar CNT', 'Min W', 'Lee HJ', 'Kim S']",[],N/A
39770724,"Helicobacter pylori Inhibition, Gastritis Attenuation, and Gut Microbiota Protection in C57BL/6 Mice by Ligilactobacillus salivarius NCUH062003.",2024 Dec 7,"['Li J', 'Xu X', 'Yang S', 'Liu K', 'Wu M', 'Xie M', 'Xiong T']",[],N/A
39770582,Sodium Thiosulfate: An Innovative Multi-Target Repurposed Treatment Strategy for Late-Onset Alzheimer's Disease.,2024 Dec 23,"['Hayden MR', 'Tyagi N']",[],N/A
39770574,The Role of Curcumin in Preventing Naturally Occurring Leiomyoma in the Galline Model.,2024 Dec 21,"['Sahin K', 'Orhan C', 'Tuzcu M', 'Sahin N', 'Ozercan IH', 'Kabil N', 'Kucuk O', 'Ozpolat B']",[],N/A
39770571,Pentagalloyl Glucose from Bouea macrophylla Suppresses the Epithelial-Mesenchymal Transition and Synergizes the Doxorubicin-Induced Anticancer and Anti-Migration Effects in Triple-Negative Breast Cancer.,2024 Dec 20,"['Kantapan J', 'Innuan P', 'Kongkarnka S', 'Sangthong P', 'Dechsupa N']",[],N/A
39770569,Inhibition of TFAM-Mediated Mitophagy by Oroxylin A Restored Sorafenib Sensitivity Under Hypoxia Conditions in HepG2 Cells.,2024 Dec 20,"['Ji S', 'Xu X', 'Li Y', 'Sun S', 'Fu Q', 'Qiu Y', 'Wang S', 'Xia S', 'Wang F', 'Zhang F', 'Xuan J', 'Zheng S']",[],N/A
39770563,Theranostics in Renal Cell Carcinoma-A Step Towards New Opportunities or a Dead End-A Systematic Review.,2024 Dec 19,"['Jóźwik-Plebanek K', 'Saracyn M', 'Kołodziej M', 'Kamińska O', 'Durma AD', 'Mądra W', 'Gniadek-Olejniczak KA', 'Dedecjus M', 'Kucharz J', 'Stec R', 'Kamiński G']",[],N/A
39770559,Novel Anthraquinone Derivatives and Their Complexes with Metal Ions with Anticancer Activity: Structure/Redox and Chelation Activity Correlations.,2024 Dec 19,"['Selyutina OY', ""Ul'yanova MA"", 'Chinak OA', 'Timoshnikov VA', 'Fedenok LG', 'Stepanov AA', 'Yanshole VV', 'Kulik LV', 'Vasilevsky SF', 'Polyakov NE', 'Kontoghiorghes GJ']",[],N/A
39770555,Immune Checkpoint Blockade Combined with AbnobaViscum(®) Therapy Is Linked to Improved Survival in Advanced or Metastatic Non-Small-Cell Lung Cancer Patients: A Registry Study in Accordance with the ESMO Guidance for Reporting Real-World Evidence.,2024 Dec 18,"['Schad F', 'Thronicke A', 'Hofheinz RD', 'Klein R', 'Grabowski P', 'Oei SL', 'Wüstefeld H', 'Grah C']",[],N/A
39770553,Nanotechnology for Healthcare: Plant-Derived Nanoparticles in Disease Treatment and Regenerative Medicine.,2024 Dec 18,"['Karnwal A', 'Jassim AY', 'Mohammed AA', 'Sharma V', 'Al-Tawaha ARMS', 'Sivanesan I']",[],N/A
39770538,Bufadienolides from Chansu Injection Synergistically Enhances the Antitumor Effect of Erlotinib by Inhibiting the KRAS Pathway in Pancreatic Cancer.,2024 Dec 16,"['Guo Y', 'Jin Y', 'Gao J', 'Wang D', 'Wang Y', 'Shan L', 'Yang M', 'Li X', 'Ma K']",[],N/A
39770518,Bacillus clausii Attenuates 5-Fluorouracil-Induced Intestinal Mucositis in Mice.,2024 Dec 12,"['Lima FRF', 'Monteiro CEDS', 'Damasceno SRB', 'Pantoja PDS', 'Franco ÁX', 'Silva RO', 'Sousa JAO', 'Mendes TS', 'Lima MA', 'Justino PFC', 'de Souza MHLP', 'Soares PMG']",[],N/A
39770509,"Design, Synthesis and Molecular Modeling of Pyrazolo[1,5-a]pyrimidine Derivatives as Dual Inhibitors of CDK2 and TRKA Kinases with Antiproliferative Activity.",2024 Dec 10,"['Attia MH', 'Lasheen DS', 'Samir N', 'Taher AT', 'Abdel-Aziz HA', 'Abou El Ella DA']",[],N/A
39770508,FDA-Approved Hydrogel-Mediated In Situ Sonodynamic and Chemotherapeutic Therapy for Pancreatic Cancer.,2024 Dec 10,"['Wang J', 'Yu N', 'Tang Y', 'Cheng Y', 'Li H']",[],N/A
39770505,"Visualizing the Tumor Microenvironment: Molecular Imaging Probes Target Extracellular Matrix, Vascular Networks, and Immunosuppressive Cells.",2024 Dec 10,"['Chan HW', 'Kuo DY', 'Shueng PW', 'Chuang HY']",[],N/A
39770503,The Small GTPase Ran Increases Sensitivity of Ovarian Cancer Cells to Oncolytic Vesicular Stomatitis Virus.,2024 Dec 10,"['Geoffroy K', 'Viens M', 'Kalin EM', 'Boudhraa Z', 'Roy DG', 'Wu JH', 'Provencher D', 'Mes-Masson AM', 'Bourgeois-Daigneault MC']",[],N/A
39770502,"Boronic Acid-Containing 3H- pyrazolo[4,3-f]quinoline Compounds as Dual CLK/ROCK Inhibitors with Anticancer Properties.",2024 Dec 10,"['Dayal N', 'Chaudhuri R', 'Yeboah KS', 'Brauer NR', 'Sintim HO']",[],N/A
39770487,"An Azomethine Derivative, BCS3, Targets XIAP and cIAP1/2 to Arrest Breast Cancer Progression Through MDM2-p53 and Bcl-2-Caspase Signaling Modulation.",2024 Dec 6,"['Acharya R', 'Deb PK', 'Venugopala KN', 'Pattanayak SP']",[],N/A
39770478,Identification of a Potential PGK1 Inhibitor with the Suppression of Breast Cancer Cells Using Virtual Screening and Molecular Docking.,2024 Dec 5,"['Chen X', 'Zuo Z', 'Li X', 'Li Q', 'Zhang L']",[],N/A
39770472,Liposomal and Nanostructured Lipid Nanoformulations of a Pentacyclic Triterpenoid Birch Bark Extract: Structural Characterization and In Vitro Effects on Melanoma B16-F10 and Walker 256 Tumor Cells Apoptosis.,2024 Dec 4,"['Rugină D', 'Socaciu MA', 'Nistor M', 'Diaconeasa Z', 'Cenariu M', 'Tabaran FA', 'Socaciu C']",[],N/A
39770457,Suppression of NNK Metabolism by Anthocyanin-Rich Haskap Berry Supplementation Through Modulation of P450 Enzymes.,2024 Nov 30,"['Amararathna M', 'Hoskin DW', 'Goralski KB', 'Rupasinghe HPV']",[],N/A
39770451,"Appropriateness of Prescribing Transmucosal Immediate-Release Fentanyl in the Emergency Room, During Hospitalization, and at Discharge: A Retrospective Study.",2024 Nov 28,"['Punjabi G', 'Ramírez E']",[],N/A
39770446,Modulation of FOXP3 Gene Expression in OVCAR3 Cells Following Rosmarinic Acid and Doxorubicin Exposure.,2024 Nov 28,"['Toprak V', 'Özdemir İ', 'Öztürk Ş', 'Yanar O', 'Kizildemir YZ', 'Tuncer MC']",[],N/A
39770441,Modulating Endoplasmic Reticulum Stress in Gastrointestinal Cancers: Insights from Traditional Chinese Medicine.,2024 Nov 27,"['Li Q', 'Zhao X', 'Yang H', 'Zhu X', 'Sui X', 'Feng J']",[],N/A
39770433,Immunotherapy in the Battle Against Bone Metastases: Mechanisms and Emerging Treatments.,2024 Nov 26,"['Hamza FN', 'Mohammad KS']",[],N/A
39770431,CRISPR/Cas9 Technology Providing the Therapeutic Landscape of Metastatic Prostate Cancer.,2024 Nov 26,"['Park J', 'Kim J']",[],N/A
39770424,Study of Cytotoxicity of Spiro-Fused [3-Azabicyclo[3.1.0]hexane]oxindoles and Cyclopropa[a]pyrrolizidine-oxindoles Against Tumor Cell Lines.,2024 Nov 25,"['Kornev AA', 'Shmakov SV', 'Ponyaev AI', 'Stepakov AV', 'Boitsov VM']",[],N/A
39770406,Sparstolonin B Reduces Estrogen-Dependent Proliferation in Cancer Cells: Possible Role of Ceramide and PI3K/AKT/mTOR Inhibition.,2024 Nov 21,"['Dilber Y', 'Çeker HT', 'Öztüzün A', 'Çırçırlı B', 'Kırımlıoğlu E', 'Barut Z', 'Aslan M']",[],N/A
39770404,"mTOR Pathway Inhibition, Anticancer Activity and In Silico Calculations of Novel Hydrazone Derivatives in Two- and Three-Dimensional Cultured Type 1 Endometrial Cancer Cells.",2024 Nov 21,"['Bulbul MV', 'Mermer A', 'Kolbasi B', 'Kocabas F', 'Kalender SM', 'Kirectepe Aydin KA', 'Demircan T', 'Keskin İ']",[],N/A
39770344,"Oral Pathogens' Substantial Burden on Cancer, Cardiovascular Diseases, Alzheimer's, Diabetes, and Other Systemic Diseases: A Public Health Crisis-A Comprehensive Review.",2024 Dec 9,"['Murray PE', 'Coffman JA', 'Garcia-Godoy F']",[],N/A
39770336,Impact of Human Papillomavirus (HPV) on Male and Female Fertility.,2024 Dec 7,"['Chenafi-Adham S', 'Boussetta-Charfi O', 'Pillet S', 'Bourlet T']",[],N/A
39770317,Papillomaviruses and Papillomaviral Disease in Dogs and Cats: A Comprehensive Review.,2024 Dec 1,"['Munday JS', 'Knight CG']",[],N/A
39770275,A Novel Microfluidic Platform for Personalized Anticancer Drug Screening Through Image Analysis.,2024 Dec 21,"['Lipreri MV', 'Totaro MT', 'Boos JA', 'Basile MS', 'Baldini N', 'Avnet S']",[],N/A
39770196,Microfluidic Technologies in Advancing Cancer Research.,2024 Nov 28,"['Ajikumar A', 'Lei KF']",[],N/A
39770150,Future Prospect of Low-Molecular-Weight Prostate-Specific Membrane Antigen Radioisotopes Labeled as Theranostic Agents for Metastatic Castration-Resistant Prostate Cancer.,2024 Dec 23,"['Ismuha RR', 'Ritawidya R', 'Daruwati I', 'Muchtaridi M']",[],N/A
